期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2024069,2,"[6, 13, 20, 21, 24, 32]",6,116,7,"[6, 1, 1]","[7, 1, 8]","[8, 7, 4, 4, 3, 2]","[2, 1, 0]","[0, 1, 2, 3, 4, 6, 7, 8]","[0, 1, 2, 0, 0, 2]"
2024070,4,"[4, 13, 18, 20, 22, 28]",5,105,8,"[4, 9, 2]","[9, 2, 6]","[5, 7, 4, 4, 3, 2]","[3, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[1, 1, 0, 2, 1, 1]"
2024071,7,"[2, 8, 19, 28, 30, 31]",14,118,9,"[9, 2, 9]","[6, 9, 1]","[8, 3, 5, 3, 2, 2]","[4, 3, 2]","[1, 2, 3, 4, 5, 6, 8, 9]","[2, 2, 1, 1, 0, 1]"
2024072,2,"[1, 14, 20, 21, 23, 27]",6,106,7,"[6, 9, 1]","[3, 1, 4]","[5, 6, 4, 4, 3, 2]","[4, 1, 2]","[1, 2, 3, 4, 5, 6, 9]","[1, 2, 2, 0, 2, 0]"
2024073,4,"[3, 9, 12, 18, 28, 30]",1,100,8,"[7, 9, 6]","[6, 6, 2]","[2, 0, 7, 4, 2, 2]","[4, 0, 0]","[0, 2, 4, 6, 7, 9]","[0, 0, 0, 0, 1, 0]"
2024074,7,"[7, 8, 10, 22, 24, 32]",7,103,8,"[5, 6, 2]","[1, 2, 8]","[3, 1, 9, 3, 3, 2]","[1, 3, 3]","[1, 2, 3, 5, 6, 8, 9]","[1, 2, 1, 1, 0, 2]"
2024075,2,"[3, 5, 8, 18, 22, 28]",1,84,9,"[5, 7, 0]","[2, 0, 6]","[7, 5, 9, 3, 2, 2]","[0, 4, 0]","[0, 2, 3, 4, 5, 6, 7, 9]","[0, 2, 2, 0, 1, 1]"
2024076,4,"[3, 22, 24, 27, 29, 32]",15,137,6,"[9, 7, 3]","[9, 3, 3]","[4, 5, 4, 4, 3, 3]","[5, 2, 1]","[1, 2, 3, 4, 5, 7, 9]","[0, 1, 0, 0, 2, 2]"
2024077,7,"[1, 4, 6, 14, 17, 22]",8,64,5,"[1, 3, 8]","[3, 8, 5]","[3, 5, 9, 3, 2, 1]","[4, 4, 0]","[0, 1, 2, 3, 4, 5, 8, 9]","[1, 1, 0, 2, 2, 1]"
2024078,2,"[5, 9, 14, 21, 22, 26]",12,97,6,"[1, 3, 7]","[4, 7, 4]","[8, 9, 5, 3, 3, 2]","[1, 2, 1]","[1, 2, 3, 4, 5, 7, 8, 9]","[2, 0, 2, 0, 1, 2]"
2024079,4,"[2, 3, 6, 7, 16, 26]",4,60,7,"[4, 3, 1]","[1, 1, 0]","[9, 9, 9, 7, 2, 1]","[0, 0, 0]","[0, 1, 2, 3, 4, 7, 9]","[2, 0, 0, 1, 1, 2]"
2024080,7,"[6, 11, 12, 27, 29, 30]",13,115,8,"[4, 8, 5]","[5, 5, 1]","[8, 9, 8, 3, 2, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 5, 8, 9]","[0, 2, 0, 0, 2, 0]"
2024081,2,"[1, 6, 12, 17, 23, 25]",4,84,6,"[4, 7, 5]","[5, 5, 2]","[3, 3, 6, 3, 2, 2]","[0, 4, 0]","[0, 2, 3, 4, 5, 6, 7]","[1, 0, 0, 2, 2, 1]"
2024082,4,"[1, 2, 13, 16, 17, 29]",16,78,6,"[8, 5, 3]","[1, 3, 2]","[7, 8, 5, 3, 3, 1]","[0, 3, 2]","[0, 1, 2, 3, 5, 7, 8]","[1, 2, 1, 1, 2, 2]"
2024083,7,"[3, 9, 14, 29, 32, 33]",15,120,10,"[0, 3, 5]","[6, 5, 1]","[9, 2, 7, 3, 2, 2]","[0, 0, 0]","[0, 1, 2, 3, 5, 6, 7, 9]","[0, 0, 2, 2, 2, 0]"
2024084,2,"[1, 8, 10, 13, 19, 29]",13,80,9,"[8, 1, 3]","[7, 3, 0]","[9, 9, 7, 5, 3, 1]","[2, 0, 0]","[0, 1, 2, 3, 5, 7, 8, 9]","[1, 2, 1, 1, 1, 2]"
2024085,4,"[1, 5, 15, 21, 23, 27]",15,92,7,"[6, 8, 6]","[4, 6, 4]","[1, 7, 5, 3, 3, 2]","[2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 0, 0, 2, 0]"
2024086,7,"[17, 19, 20, 23, 25, 31]",2,135,5,"[4, 6, 3]","[2, 3, 6]","[6, 6, 5, 4, 4, 3]","[3, 0, 3]","[0, 2, 3, 4, 5, 6]","[2, 1, 2, 2, 1, 1]"
2024087,2,"[3, 9, 18, 19, 20, 26]",11,95,7,"[3, 1, 1]","[6, 1, 6]","[0, 9, 4, 4, 3, 2]","[5, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 9]","[0, 0, 0, 1, 2, 2]"
2024088,4,"[3, 8, 10, 17, 30, 32]",10,100,7,"[9, 2, 7]","[5, 7, 2]","[2, 1, 9, 4, 2, 2]","[4, 0, 0]","[0, 1, 2, 4, 5, 7, 9]","[0, 2, 1, 2, 0, 2]"
2024089,7,"[3, 6, 9, 15, 18, 31]",1,82,5,"[8, 2, 6]","[3, 6, 3]","[6, 2, 8, 4, 3, 1]","[4, 2, 2]","[1, 2, 3, 4, 6, 8]","[0, 0, 0, 0, 0, 1]"
2024090,2,"[7, 11, 17, 24, 31, 32]",12,122,9,"[5, 0, 7]","[4, 7, 1]","[6, 0, 6, 4, 2, 2]","[2, 2, 2]","[0, 1, 2, 4, 5, 6, 7]","[1, 2, 2, 0, 1, 2]"
2024091,4,"[13, 15, 16, 19, 20, 24]",10,107,5,"[1, 5, 3]","[2, 3, 4]","[7, 6, 5, 4, 4, 3]","[5, 2, 3]","[1, 2, 3, 4, 5, 6, 7]","[1, 0, 1, 1, 2, 0]"
2024092,7,"[3, 8, 11, 12, 18, 29]",5,81,10,"[6, 0, 1]","[5, 1, 1]","[6, 9, 6, 5, 3, 1]","[3, 1, 1]","[0, 1, 3, 5, 6, 9]","[0, 2, 2, 0, 0, 2]"
2024093,2,"[1, 5, 7, 11, 12, 15]",12,51,6,"[4, 7, 4]","[4, 4, 3]","[0, 9, 6, 3, 3, 2]","[3, 1, 3]","[0, 1, 2, 3, 4, 6, 7, 9]","[1, 2, 1, 2, 0, 0]"
2024094,4,"[6, 13, 17, 22, 25, 27]",9,110,9,"[1, 2, 5]","[7, 5, 2]","[7, 7, 5, 4, 3, 3]","[2, 0, 2]","[0, 1, 2, 3, 4, 5, 7]","[0, 1, 2, 1, 1, 0]"
2024095,7,"[4, 6, 9, 14, 16, 21]",3,70,4,"[7, 0, 5]","[2, 5, 5]","[6, 0, 6, 4, 3, 2]","[4, 0, 2]","[0, 2, 3, 4, 5, 6, 7]","[1, 0, 0, 2, 1, 0]"
2024096,2,"[2, 4, 14, 18, 23, 27]",13,88,8,"[5, 9, 4]","[2, 4, 4]","[3, 1, 5, 3, 2, 2]","[4, 3, 0]","[0, 1, 2, 3, 4, 5, 9]","[2, 1, 2, 0, 2, 0]"
2024097,4,"[4, 10, 12, 13, 18, 30]",3,87,8,"[6, 8, 1]","[6, 1, 2]","[0, 7, 6, 5, 3, 1]","[3, 2, 3]","[0, 1, 2, 3, 5, 6, 7, 8]","[1, 1, 0, 1, 0, 0]"
2024098,7,"[3, 8, 10, 20, 30, 31]",2,102,9,"[8, 2, 0]","[5, 0, 1]","[3, 1, 9, 4, 2, 2]","[0, 2, 2]","[0, 1, 2, 3, 4, 5, 8, 9]","[0, 2, 1, 2, 0, 1]"
2024099,2,"[4, 12, 17, 24, 26, 27]",16,110,10,"[3, 4, 7]","[8, 7, 1]","[6, 8, 5, 3, 3, 3]","[2, 0, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1, 0, 2, 0, 2, 0]"
2024100,4,"[13, 14, 19, 20, 27, 30]",5,123,7,"[7, 3, 1]","[1, 1, 3]","[8, 7, 5, 5, 3, 3]","[3, 3, 3]","[1, 3, 5, 7, 8]","[1, 2, 1, 2, 0, 0]"
2024101,7,"[8, 12, 15, 17, 19, 30]",8,101,6,"[2, 7, 2]","[4, 2, 1]","[1, 7, 5, 4, 4, 2]","[5, 1, 1]","[1, 2, 4, 5, 7]","[2, 0, 0, 2, 1, 0]"
2024102,2,"[9, 15, 18, 21, 22, 25]",1,110,5,"[6, 7, 3]","[6, 3, 3]","[1, 6, 5, 4, 4, 3]","[2, 0, 2]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 0, 0, 0, 1, 1]"
2024103,4,"[12, 21, 23, 27, 32, 33]",15,148,7,"[1, 1, 4]","[9, 4, 1]","[1, 6, 5, 4, 3, 3]","[4, 3, 0]","[0, 1, 3, 4, 5, 6, 9]","[0, 0, 2, 0, 2, 0]"
2024104,7,"[5, 16, 23, 24, 26, 29]",4,123,9,"[4, 0, 1]","[1, 1, 3]","[3, 6, 4, 4, 3, 3]","[3, 3, 3]","[0, 1, 3, 4, 6]","[2, 1, 2, 0, 2, 2]"
2024105,2,"[2, 5, 17, 19, 29, 33]",4,105,8,"[1, 4, 2]","[3, 2, 4]","[1, 0, 5, 4, 2, 2]","[3, 0, 1]","[0, 1, 2, 3, 4, 5]","[2, 2, 2, 1, 2, 0]"
2024106,4,"[3, 8, 11, 22, 31, 33]",4,108,9,"[0, 3, 1]","[5, 1, 2]","[5, 2, 8, 3, 2, 2]","[0, 3, 0]","[0, 1, 2, 3, 5, 8]","[0, 2, 2, 1, 1, 0]"
2024107,7,"[1, 6, 8, 13, 17, 19]",9,64,6,"[8, 1, 5]","[5, 5, 2]","[3, 9, 7, 3, 2, 2]","[4, 4, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[1, 0, 2, 1, 2, 1]"
2024108,2,"[1, 8, 9, 23, 24, 30]",8,95,6,"[9, 6, 4]","[7, 4, 6]","[4, 0, 9, 3, 2, 2]","[5, 0, 3]","[0, 2, 3, 4, 5, 6, 7, 9]","[1, 2, 0, 2, 0, 0]"
2024109,4,"[3, 4, 24, 28, 29, 33]",9,121,6,"[0, 5, 4]","[1, 4, 4]","[9, 9, 4, 3, 3, 2]","[1, 1, 1]","[0, 1, 2, 3, 4, 5, 9]","[0, 1, 0, 1, 2, 0]"
2024110,7,"[4, 13, 17, 23, 25, 33]",14,115,8,"[9, 2, 6]","[9, 6, 8]","[7, 7, 5, 4, 3, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 2, 2, 1, 0]"
2024111,2,"[1, 4, 11, 12, 22, 30]",16,80,6,"[9, 8, 1]","[3, 1, 8]","[9, 9, 6, 5, 2, 1]","[2, 0, 0]","[0, 1, 2, 3, 5, 6, 8, 9]","[1, 1, 2, 0, 1, 0]"
2024112,4,"[8, 11, 16, 25, 29, 32]",3,121,8,"[4, 8, 9]","[3, 9, 3]","[4, 0, 6, 3, 3, 2]","[1, 1, 1]","[0, 1, 2, 3, 4, 6, 8, 9]","[2, 2, 1, 1, 2, 2]"
2024113,7,"[4, 5, 23, 24, 26, 31]",11,113,8,"[7, 1, 1]","[1, 1, 5]","[7, 1, 3, 3, 3, 2]","[5, 3, 1]","[1, 2, 3, 5, 7]","[1, 2, 2, 0, 2, 1]"
2024114,7,"[7, 11, 18, 24, 27, 32]",4,119,10,"[5, 6, 6]","[4, 6, 5]","[6, 9, 5, 3, 3, 2]","[5, 4, 3]","[2, 3, 4, 5, 6, 9]","[1, 2, 0, 0, 0, 2]"
2024115,2,"[3, 10, 11, 19, 27, 28]",7,98,4,"[5, 7, 8]","[7, 8, 1]","[1, 8, 7, 4, 2, 2]","[2, 3, 2]","[1, 2, 3, 4, 5, 7, 8]","[0, 1, 2, 1, 0, 1]"
2024116,4,"[1, 15, 20, 22, 31, 32]",3,121,10,"[1, 6, 2]","[4, 2, 1]","[0, 7, 5, 4, 2, 2]","[1, 1, 1]","[0, 1, 2, 4, 5, 6, 7]","[1, 0, 2, 1, 1, 2]"
2024117,7,"[3, 12, 14, 16, 29, 32]",12,106,8,"[9, 7, 2]","[9, 2, 3]","[4, 7, 6, 5, 2, 2]","[4, 1, 2]","[1, 2, 3, 4, 5, 6, 7, 9]","[0, 0, 2, 1, 2, 2]"
2024118,2,"[2, 3, 4, 6, 11, 15]",14,41,6,"[3, 8, 2]","[1, 2, 4]","[9, 2, 9, 5, 2, 1]","[5, 1, 1]","[1, 2, 3, 4, 5, 8, 9]","[2, 0, 1, 0, 2, 0]"
2024119,4,"[2, 9, 26, 27, 31, 32]",14,127,8,"[0, 2, 1]","[7, 1, 1]","[2, 3, 3, 3, 3, 2]","[1, 2, 3]","[0, 1, 2, 3, 7]","[2, 0, 2, 0, 1, 2]"
2024120,7,"[1, 5, 7, 11, 18, 19]",7,61,8,"[8, 3, 4]","[4, 4, 1]","[0, 1, 7, 4, 2, 2]","[1, 1, 1]","[0, 1, 2, 3, 4, 7, 8]","[1, 2, 1, 2, 0, 1]"
2024121,2,"[1, 7, 10, 13, 27, 33]",3,91,5,"[2, 0, 3]","[6, 3, 6]","[0, 2, 8, 6, 2, 1]","[1, 1, 3]","[0, 1, 2, 3, 6, 8]","[1, 1, 1, 1, 0, 0]"
2024122,4,"[5, 7, 9, 16, 17, 29]",15,83,8,"[4, 0, 7]","[2, 7, 2]","[5, 0, 8, 4, 3, 1]","[5, 3, 3]","[0, 1, 2, 3, 4, 5, 7, 8]","[2, 1, 0, 1, 2, 2]"
2024123,7,"[2, 15, 22, 26, 30, 33]",4,128,7,"[1, 5, 4]","[3, 4, 3]","[3, 7, 4, 3, 3, 2]","[2, 3, 0]","[0, 1, 2, 3, 4, 5, 7]","[2, 0, 1, 2, 0, 0]"
2024124,2,"[2, 14, 15, 17, 25, 30]",11,103,8,"[8, 1, 2]","[2, 2, 5]","[0, 6, 5, 5, 3, 2]","[1, 3, 3]","[0, 1, 2, 3, 5, 6, 8]","[2, 2, 0, 2, 1, 0]"
2024125,4,"[1, 4, 13, 18, 26, 30]",3,92,8,"[9, 2, 5]","[3, 5, 4]","[1, 2, 6, 4, 2, 2]","[2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 9]","[1, 1, 1, 0, 2, 0]"
2024126,7,"[14, 18, 23, 24, 26, 33]",10,138,8,"[9, 8, 1]","[4, 1, 7]","[8, 6, 5, 4, 4, 3]","[0, 3, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 2, 0, 2, 0]"
2024127,2,"[2, 5, 13, 20, 27, 32]",10,99,9,"[0, 2, 7]","[3, 7, 5]","[8, 8, 6, 3, 2, 2]","[3, 4, 3]","[0, 2, 3, 4, 5, 6, 7, 8]","[2, 2, 1, 2, 0, 2]"
2024128,4,"[1, 8, 13, 18, 20, 26]",16,86,7,"[5, 2, 5]","[7, 5, 6]","[5, 9, 5, 3, 3, 2]","[2, 1, 2]","[1, 2, 3, 5, 6, 7, 9]","[1, 2, 1, 0, 2, 2]"
2024129,7,"[9, 10, 13, 19, 24, 32]",1,107,10,"[3, 4, 6]","[1, 6, 8]","[0, 9, 7, 4, 3, 2]","[5, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 1, 0, 2]"
2024130,2,"[1, 8, 12, 17, 19, 24]",16,81,5,"[3, 1, 5]","[7, 5, 5]","[0, 9, 5, 3, 3, 2]","[3, 1, 1]","[0, 1, 2, 3, 5, 7, 9]","[1, 2, 0, 2, 1, 0]"
2024131,4,"[4, 5, 11, 15, 20, 32]",13,87,10,"[8, 5, 4]","[1, 4, 2]","[0, 6, 6, 4, 3, 1]","[3, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 8]","[1, 2, 2, 0, 2, 2]"
2024132,7,"[1, 4, 25, 27, 28, 33]",3,118,8,"[2, 4, 2]","[3, 2, 5]","[7, 8, 3, 3, 3, 2]","[4, 3, 2]","[2, 3, 4, 5, 7, 8]","[1, 1, 1, 0, 1, 0]"
2024133,2,"[1, 11, 15, 27, 30, 33]",1,117,9,"[2, 9, 2]","[0, 2, 3]","[6, 9, 6, 3, 2, 2]","[3, 2, 1]","[0, 1, 2, 3, 6, 9]","[1, 2, 0, 0, 0, 0]"
2024134,4,"[2, 4, 13, 16, 18, 20]",16,73,6,"[8, 4, 3]","[2, 3, 2]","[5, 7, 4, 3, 3, 2]","[1, 3, 1]","[1, 2, 3, 4, 5, 7, 8]","[2, 1, 1, 1, 0, 2]"
2024135,7,"[5, 11, 17, 18, 30, 31]",13,112,5,"[6, 9, 1]","[6, 1, 1]","[1, 9, 5, 5, 2, 2]","[4, 2, 0]","[0, 1, 2, 4, 5, 6, 9]","[2, 2, 2, 0, 0, 1]"
2024136,2,"[3, 11, 15, 21, 25, 26]",3,101,8,"[3, 4, 6]","[8, 6, 1]","[2, 8, 5, 3, 3, 2]","[5, 1, 1]","[1, 2, 3, 4, 5, 6, 8]","[0, 2, 0, 0, 1, 2]"
2024137,4,"[4, 9, 10, 19, 26, 27]",12,95,8,"[3, 7, 9]","[5, 9, 1]","[2, 9, 8, 4, 2, 2]","[5, 0, 3]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[1, 0, 1, 1, 2, 0]"
2024138,7,"[2, 7, 11, 21, 27, 28]",2,96,10,"[6, 0, 0]","[5, 0, 1]","[7, 2, 7, 3, 2, 2]","[0, 1, 0]","[0, 1, 2, 3, 5, 6, 7]","[2, 1, 2, 0, 0, 1]"
2024139,2,"[15, 16, 20, 22, 23, 29]",14,125,6,"[4, 7, 2]","[1, 2, 6]","[7, 6, 5, 4, 4, 3]","[5, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 1, 2, 2]"
2024140,4,"[4, 7, 8, 17, 22, 26]",15,84,7,"[2, 5, 9]","[3, 9, 4]","[0, 1, 9, 3, 2, 2]","[0, 4, 0]","[0, 1, 2, 3, 4, 5, 9]","[1, 1, 2, 2, 1, 2]"
2024141,7,"[1, 2, 7, 15, 24, 29]",12,78,7,"[8, 2, 8]","[1, 8, 5]","[7, 8, 0, 4, 2, 1]","[0, 3, 2]","[0, 1, 2, 3, 4, 5, 7, 8]","[1, 2, 1, 0, 0, 2]"
2024142,2,"[4, 6, 13, 21, 22, 25]",6,91,9,"[1, 6, 8]","[2, 8, 3]","[1, 4, 6, 3, 3, 2]","[1, 1, 3]","[1, 2, 3, 4, 6, 8]","[1, 0, 1, 0, 1, 1]"
2024143,4,"[2, 5, 11, 22, 30, 33]",10,103,7,"[1, 5, 1]","[3, 1, 3]","[0, 9, 8, 3, 2, 2]","[1, 3, 3]","[0, 1, 2, 3, 5, 8, 9]","[2, 2, 2, 1, 0, 0]"
